MisconceptionId,MisconceptionName
0,Does not know that angles in a triangle sum to 180 degrees
1,Uses dividing fractions method for multiplying fractions
2,Believes there are 100 degrees in a full turn
3,"Thinks a quadratic without a non variable term, can not be factorised"
4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead"
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator
7,Believes gradient = change in y
8,Student thinks that any two angles along a straight line are equal
9,Thinks there are 180 degrees in a full turn
10,"Believes duration can be read from a timetable, rather than calculating from start and end times"
11,"When reading value from graph, reads from the wrong axes."
12,Thinks that the side view does not include the furthest rows back
13,"Does not subtract from the hours, when having to borrow for a time calculation"
14,Does not understand how to create a multiple of an equation
15,"Confuses the order of operations, believes addition comes before division"
16,Believes that graphs of inverse proportion meet the axes
17,Confuses AM and PM when calculating time
18,"Given the length of the sides, still does not recognise there is enough information to find the area"
19,"When multiplying a surd by an integer, adds the integer to the number under the surd"
20,Believes the number of wholes in a mixed number multiplies by the fraction part
21,Estimates shares of a ratio instead of calculating
22,Confuses the ten thousands and thousands place value columns
23,Does not understand the command word 'difference'
24,Does not understand the term multiple
25,Does not realise that when you multiply by 0 the answer will always be 0
26,Thinks x = ? or y = ? is y = x
27,Believes squaring a fraction requires you to double both parts
28,Thinks the interior angles of any polygon add up to 360
29,Forgot to simplify the fraction
30,"When asked for a number n times smaller or bigger, subtracts or adds n"
31,Does not understand bar modelling in algebra
32,"When squaring a variable, believes they also need to square the coefficient"
33,Uses more than 3 letters to describe an angle
34,Believes dividing a negative by a positive gives a positive answer
35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles
36,Enlarges by the wrong centre of enlargement
37,Rounded to wrong degree of accuracy (2sf not 1sf)
38,Believes the sides of an inequality can be switched without changing the direction of the sign
39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage
40,Believes midpoint multiplied by frequency is equivalent to frequency density
63,Believes 'data' and 'sample' are interchangeable
64,Mixes up squaring and multiplying by 4
65,Cannot spot a variable within a written scenario
66,Repeats the digits three times when cubing a number
67,Divides by 1000 instead of 100 when converting a decimal to a percentage
68,Confuses a term with an equation
69,"When given a non-unit fraction of an amount, treats it like a unit fraction"
70,"When reading a composite bar chart, just reads total height of bar"
71,Multiplies all given dimensions when calculating an area
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
73,Confuses a function with an expression
74,Believes they must expand brackets before solving an equation
75,Believes that the directions of positive and negative vectors are the opposite way around.
76,Confuses quadratic and exponential graphs
77,"Does not follow the arrows through a function machine, changes the order of the operations asked."
78,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator"
79,Does not understand how to divide algebraic terms
80,Thinks you can ignore the variable when simplifying algebraic fractions
81,Thinks you subtract rather than add when finding the previous term in a descending linear sequence
82,Believes the square of a negative will also be negative
83,Confuses the meaning of perpendicular and vertical 
84,Believes greater than/less than symbols include end values
85,Does not remember that a rhombus has equal sides
86,Assumes value of symbols in a pictogram without checking the key
87,Does not know what an exterior angle is 
88,Believes parallelogram is the term used to describe two lines at right angles
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator
123,Rounds incorrectly when the nearest 10 is a multiple of 100
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel
125,Thinks the division sign means to add
126,Multiplies rather than adds when given the command word 'more'
127,Thinks the fraction to decimal conversion button on a calculator can be used to raise to a power
128,Does not understand how to read both x and y coordinates
129,Believes they can change only one side of a ratio and it will remain equivalent
130,"Believes that for a line written in the form ax + by = c, a is the gradient"
131,Does not think a number can be a factor of itself
132,Only considers the positive solution when calculating a square root
133,Believes dividing by a unit fraction is equivalent to dividing by its reciprocal
134,Misreads scale
135,Thinks the value of an exterior angle is 360 degrees
136,Does not recognise a reciprocal equation
137,Does not know the meaning of the word identity 
138,"When solving a problem using written division (bus-stop method), does the calculation from right to left"
139,Thinks triple means add three
696,"In the middle of the total column or row of a two way table, adds the other totals (including overall total), rather than finding the difference"
697,Arithmetic error when multiplying by 7
698,Believes each number on a clock face represents 1 minute
699,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
700,"When calculating missing side length from perimeter, gives the total missing length instead of dividing for one side."
701,Does not know the meaning of vertically opposite
702,When changing a number to standard form omits zero's of significance 
703,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd"
704,Thinks there are 10cm in a metre
705,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards"
706,Carries out operations from right to left regardless of priority order
707,Believes that fractions with the same denominator are equal
708,Believes switching the x and y variables in a linear equation gives a perpendicular line
709,Adds instead of subtracts when using an area model for multiplication
710,Confuses factors and multiples
711,Believes you write the carried value in the number rather than adding it to the next place value column
712,Believes you can not take away a larger number from a smaller one
713,"When asked for a specific term in a sequence gives a different term, which is not the next"
714,Uses the other part instead of total frequency as denominator for relative frequency
715,Removes the common denominator when making equivalent algebraic fractions
716,Rounds a decimal instead of using a fraction in division
717,Believes the amount given is for the whole rather than a part
718,Uses sin when tan is required
719,Does not recognise feet (ft) as a unit of length
720,Believes that 'less than' includes the number 
721,Does not know what the symbol for equal lengths means
722,Thinks the fraction button finds the reciprocal
723,Forgets you need a ruler to measure lengths
724,Thinks the denominator in a combined probablity will be the same as the denominator in the probability of the first event.
725,Does not know that angles on a straight line sum to 180 degrees
746,Finds surface area when asked for volume
747,Believes scales on graphs must match on both axes
748,"When finding the negative power of a negative power, assumes they can ignore one of the negatives"
749,"When asked to subtract a fraction from a unit, removes the unit value from the denominator"
750,"When using the capture-recapture method, confuses the order of the calculation to find best estimate of population"
751,Believes you add the terms together when multiplying like terms.
752,Thinks that when dividing numbers in standard form you subtract the number and divide the power
753,Believes when you plot a linear sequence it doesn't give a straight line
754,Does not recognise that an integer multiplied by a surd can be simplified
755,Does not know which letters can be subtracted in Roman Numerals
756,Believes unit fractions with a difference of 1 in the denominator have no other fractions between them
757,Adds rather than multiplies when asked for a product
758,Believes an outlier is a value that does not fit the same characteristics as the other values
759,Confuses a formula with an expression
760,Converts a fraction to a decimal by using the denominator after the decimal point
761,Subtracts instead of adds when finding a midpoint
762,Chooses an example when asked for a counter-example
763,Believes 'inclusive' does not include the end value
764,Confuses octagon and pentagon
765,Thinks there are 10kg in a tonne
766,Confuses the graphs of  direct and inverse proportion
767,Thinks there are 10 minutes in an hour
768,Finds the circumference of the whole circle instead of arc length 
769,Confuses the direction of vectors when adding or subtracting
770,Believes class width represents area of the bar in a histogram
771,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b
772,Rotates instead of reflects
773,Does not understand to find each interior angle of a regular polygon you divide the sum by the number of sides
774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer"
775,"When adding variables with powers, thinks they can add the powers"
776,Does not know how to compare size of angles on a grid without a protractor
777,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around"
778,Struggles to visualise the new position of an object after transformations
779,"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit"
780,Believes the constant only gives the y-intercept for linear graphs
781,"When reading decimals on a number line, assumes each dash is 0.2"
802,"Thinks that when drawing the elevation, the top layer does not need to be included "
803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) 
804,Believes percentages cannot be converted into fractions
805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line
806,Thinks the number in the ratio is the total
807,Believes all quadratic equations have a solution of 0
808,Thinks they double rather than halve when finding the area of a triangle
809,Uses cos when tan is required
810,Believes the number outside the circles in a Venn represents the intersection
811,Believes they can multiply/divide through by a negative number without changing the direction of the inequality
812,When dividing numbers with the same base correctly subtracts the powers but divides the base numbers.
813,Believes parallel is the term used to describe two lines at right angles
814,Confuses circumference and radius
815,Counts in the wrong direction on a number line
816,Only counts visible faces
817,Believes adding numbers together gives the highest common factor
818,Believes the median is the category with the median frequency
819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis"
820,Does not know that you can leave a fraction in improper form
821,Mistakes rotations for translations
822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down"
823,Assumes they multiply by the numerator of fractional index
824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number"
825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole "
826,Confuses intersection and universal set
827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor
828,Adds when calculating area instead of multiplying
829,Estimates angle rather than calculating
830,Gives an example of a factor instead of counting how many total factors a number has
831,Thinks subtraction calculates how many in 
832,Believes that a fraction with equal numerator and denominator cancels to 0
833,"When calculating perimeter, multiplies instead of adds"
834,"When asked for the next term in the sequence adds one to the last term given, despite the sequence not going up in ones."
835,Confuses a formula with an equation
836,Believes the mean is the middle number
837,Believes that rounding parts of a fraction in different directions means the answer will be the same. 
838,"When factorising a quadratic without a non variable term, tries to double bracket factorise"
839,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. "
840,Does not understand the place value of answers from a Napier's bones calculation
841,Does not subtract 2 from the number of sides when finding the sum of interior angles
842,Confuses the calculations for HCF and LCM
843,Does not see fraction diagrams as equivalent if the shading is in a different pattern
844,Thinks there are 100mm in a metre
845,Believes they can find the nth term based on the first term only
846,Thinks there are 1000ml in a centilitre
847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.
848,Believes when simplifying a fraction you can divide the numerator and denominator by different values
849,Thinks the nth term is when the value of the term is n
850,Thinks there are 10mm in a metre
851,Thinks a negative x value in a column vector means to move right rather than left 
852,Thinks there are 100 mg in a gram
853,Does not know how to check tessellation
854,Divided by 100 rather than multiplied by 100
855,Believes integers can have decimal places
856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded."
857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer"
858,Believes splitting a multiplication using the distributive property is the same as splitting it into factors
859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting
860,Mixes up clockwise and anticlockwise
861,Reads a power as a normal digit
862,Does not understand equivalent ratios
863,Believes inequalities can only include integers
864,Reads 0 on protractor as size of angle when angle is not in usual orientation
865,Does not recognise a unit of mass
866,Believes that the y intercept is where y = 0
867,When finding the area of a parallelogram does not understand which lengths to use
868,Believes a number raised to a power will always give a positive answer
869,Believes multiplying together prime factors that are not shared gives the highest common factor
870,Only counts visible vertices
871,Does not include brackets when attempting to multiply an expression
872,Thinks angles can only be measured when one line is horizontal
873,Believes that we cannot calculate the mean of negative numbers
874,Mistakes the place value column of hundred thousands with millions
875,Believes vertically opposite angles sum to 360 degrees
876,Believes squaring a negative number just changes the sign
877,Does not convert measurements to have the same units before calculating area or volume
878,"Counts on by 1, when asked to count forward/backwards in a step other than 1"
879,Thinks you apply one inverse operation to one term and the other inverse operation to the other term
880,Thinks a higher average means more consistent data
881,adds all given dimensions when calculating area
882,Believes 0 has no square root
883,"Believes mirror line must lie on a grid line, not in between grid lines"
884,"When asked for more, find the total"
885,Thinks they can simplify algebraic fractions by cancelling unlike variables
886,Believes that prime numbers cannot be even
887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint"
888,Does not understand the relationship between a ratio and fraction
889,"Believes when you plot a sequence, the line always passes through (0, 0)"
890,Thinks they had to give the new amount rather than the total percentage that the original has been increased by.
891,Incorrectly cancels what they believe is a factor in algebraic fractions
892,Believes each vertical line on a box plot represents 1 piece of data
893,"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator"
894,Believes expanding a squared expression means writing it as a set of double brackets
895,Believes a line of reflection must be touching the original shape
1069,Assumes an angle is the size that it looks in the (not to scale) diagram
1070,Believes that dividing by 10 gives 1%
1071,Confuses obtuse and acute angles
1072,Multiplies by the index
1073,Believes if you add the same value to all numbers in the dataset the range will change
1074,Multiplies rather than divides
1075,When asked to add fractions uses the method for multiplying fractions instead.
1076,Cancels digits when dividing
1077,Believes all multiples of odd numbers are odd
1078,"Ignores numbers written as words in worded questions, and just calculates using those written in digits"
1079,Believes factors add to give a number
1080,Believes there are 20 minutes in an hour
1081,"When subtracting fractions, divides the numerators"
1082,"When multiplying with negative numbers, assumes any negative sign can be ignored"
1083,Does not know the meaning of uniform cross section
1084,Has removed brackets but not performed the operation
1085,Multiplied the powers rather than added them
1086,Thinks the perimeter of a sector is the same as arc length 
1087,Thinks the interior angles of a polygon add up to 100n
1088,Believes you add the denominators when finding a fraction of another fraction
1089,Cannot identify mutually exclusive events
1090,Doesn't recognise commutativity of addition with negative numbers
1091,Confuses a variable with a formula
1092,Cannot spot a coefficient within a written scenario
1093,Has multiplied the value of the first term by the the term being asked
1094,Believes when frequencies multiply by a scale factor in a table the mean also multiplies by that scale factor
1095,Believes that vectors of different magnitudes can be equal.
1096,Thinks there are 10cl in a millilitre
1097,Is not able to identify a situation where Pythagoras' Theorem is needed
1098,Finds the mean instead of the range
1099,Believes gradient at a point = y coordinate/x coordinate
1100,Believes direct proportion means a 1:1 ratio
1101,Believes stratified samples should be evenly split
1102,Believes that addition should be used when finding the difference between two values on a time series graph
1103,"When reading integers on a number line, assumes each dash is 2"
1104,Simplifies integers when simplifying a mixed number
1105,Rounds every number to the same degree instead of rounding to significant figures when estimating 
1106,Divides 360 degrees by sum of sides rather than given amount of angles
1107,Converted hours to minutes instead of hours to seconds
1108,"Believes  c, in y=mx+c, will be the y value of the coordinate given despite the x coordinate not being 0."
1121,Believes biased selection methods can be random
1122,"When enlarging a shape, thinks the scale factor divides the movement from the centre of enlargement to a vertex rather than multiplies"
1123,Subtracts rather than dividing to find unit price
1124,When ordering numbers in standard form just looks at the decimal without multiplying by a power of 10
1125,Multiplies rather than adds when answering worded problems
1126,Believes the mean is always representative
1127,Believes the variable should remain in place after substituting its value
1128,Does not know how to interpret a fraction worded problem 
1129,"When finding a missing part in a ratio, divides rather than multiplies"
1130,Does not know how to solve linear equations involving fractions
1131,"When adding fractions, multiplies the numerators"
1132,Does not understand that a probability of 1 represents something that is certain
1133,Does not recognise a quadratic graph
1134,"When solving an equation, adds instead of dividing"
1135,"When subtracting a negative number, adds the absolute values and then writes the answer with a negative sign"
1136,"Believes that a general trend of an increase or decrease over time, on a statistical diagram, means that the slope must be in the same direction for the whole time period"
1137,"When squaring a variable with a power, thinks that the power is squared rather than doubled. "
1138,Subtracts the smallest digit from the largest digit
1139,Confuses the lines y=x and y=-x
1140,"When simplifying surds, adds the number on the outside of the surd to the number under the surd"
1153,Believes they can ignore the coefficient when expanding double brackets 
1154,Believes midpoints are plotted on histograms
1155,Starts at the wrong end of the dividend when dividing
1156,"When dividing a fraction by an integer, divides the denominator by the integer"
1157,Rounds every number up when estimating
1158,Believes you can go above an amount of money when finding how much of something you can buy
1159,"When comparing non like surds, does not square the surds"
1160,Thinks you can find missing values in a given table by treating the row as a sequence of consecutive numbers
1161,Thinks 1 square metre = 10 square centimetres
1162,Mixes up the inequality signs in an error interval
1163,Does not understand you can round to numbers other than powers of 10
1164,Believes linear sequences cannot include fractions
1165,Rounds to the nearest integer rather than one significant figure
1166,"When subtracting a fraction from a mixed number, assumes they subtract the numerator from the integer and the numerator of the mixed number"
1167,Does not recognise millimetres as a unit of length
1168,Believes both the x and y co-ordinates of the x-intercept of a quadratic are derived from the constants in the factorised form.
1169,Does not know that cubic means the same as cubed in units
1352,Believes cumulative frequency is plotted at the midpoint of the class
1353,Believes two odd numbers multiply to give an even number
1354,Does not know how to calculate the position of a term in a sequence
1355,Removes a zero from within the digits when rounding
1356,Confuses the use of LCM and HCF in real life examples 
1357,Thinks only labelled dimensions need to be included when calculating the perimeter
1358,Believes you can have decimals in a simplified fraction
1359,Does not know how to round up when a decimal place value column contains a 9
1360,"When solving an equation, multiplies instead of adding"
1361,Does not recognise that addition is the inverse operation of subtraction
1362,Believes that the angle on a pie chart is the frequency multiplied by 10
1363,Uses 2 letters to describe an angle
1364,Believes the mode is the frequency rather than the value/group
1365,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start"
1366,Subtracts instead of multiplies when using grid method
1367,Thinks a dashed line marking a region means the line is included
1368,Confuses parallel and transversal
1369,Halves the radius to find the diameter
1370,Does not believe a shape can have two correct names e.g. rectangle and parallelogram
1371,"When drawing bar diagram for ratio, shows the total as the difference between parts"
1372,Ordered from largest to smallest
1373,Does not recognise a unit of time
1374,"When multiplying fractions, multiplies the denominator"
1375,Confuses the radius and theta when working with sectors 
1376,Thinks that a larger shaded area represents a larger fraction
1377,Square roots when asked for second multiple
1378,"When solving a problem using written division (bus-stop method), carries the wrong digit"
1379,Rounds down instead of up
1380,"When collecting like terms, assigns positivity or negativity incorrectly."
1381,Believes the gradient is where the line intersects the y axis
1382,"When given two similar objects and asked to find the length scale factor, believes the length scale factor is the area scale factor"
1383,"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit"
1384,"When reading decimals on a number line, assumes each dash is 0.5"
1385,Struggles to draw 3D shapes on isometric paper
1386,Confuses the method for finding the gradient and length of a line segment
1387,Does not understand the effect of consecutive subtractions
1388,Does not understand the term quadratic
1389,Mistakes lines as parallel
1390,Believes having the gradient and y-intercept is not enough information to write an equation for a straight line
1391,Does not know how to find the y intercept when given two other sets of coordinates that lie on a straight line
1392,Does not include brackets when required
1393,Does not know that a single letter labels a vertex
1394,Identifies the first term rather than the next term in a sequence
1395,"When calculating volume expressed in cubes, counts the visible cubes only"
1396,Finds a percentage when asked for a fraction
1397,Believes point will move diagonally when reflecting in a horizontal or vertical line
1398,Divided by 100 rather than 1000
1399,Fails to identify any rotational symmetry
1418,"When the dividend is a mixed number and the divisor is an integer, thinks they only perform the calculation with the integers."
1419,Believes any lines that cross are perpendicular
1420,"Believes that when eliminating a variable, regardless of the signs of the terms with matching coefficients, we subtract the equations"
1421,"When factorising into double brackets, finds the sum of two values which give the non variable term in the expression rather than the product"
1422,Does not recognise km as a unit of length 
1423,Struggles to estimate 3D volume
1424,Thinks numbers greater than 1 cannot be converted into fractions
1425,Believes two lines of the same length are parallel
1426,Thinks rule for calculating interior angles only applies to regular polygons
1427,Believes cube numbers are just multiples of 3
1428,"Does not understand the meaning of ""value"""
1429,Believes equivalent fractions are formed with addition not multiplication
1430,Does not recognise that the intersection of a Venn diagram represents those belonging to both sets
1431,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator."
1432,"When factorising into double brackets, believes the sum of the two values in the brackets equals bx rather than b"
1433,"When factorising into single brackets, only factors out the numerical values and forgets to factorise possible variables"
1434,Believes any adjacent angles sum to 180 degrees
1435,When subtracting from a negative thinks the answer must be positive
1436,Confuses cubic and exponential graphs
1437,Assumes the fractional index denotes the root and power the other way around
1438,Believes division of surds always results in an integer
1439,"When solving simultaneous equations, assumes every variable has equal value."
1440,Believes 180 degrees is an obtuse angle
1441,"Thinks decimal place value works the same as integer place value, ones will follow tenths"
1442,Think cross section of a prism is the biggest face
1443,"Thinks that when raising a variable with a coefficient to a power, only the coefficient is affected by the power"
1444,Does not understand that the negative outside the bracket means answer will be negative
1445,Believes you find the angle for a pie chart sector by doing its frequency multiplied by total frequency
1446,"When calculating perimeter, only adds two sides"
1447,Writes the remainder as the digit after the decimal point
1448,Believes the solutions of a quadratic equation are the negative of the absolute values of the constants in the factorised form
1449,Believes rounding numbers down would give an overestimate
1450,Does not understand how to apply sohcahtoa
1451,Assumes that the square root is the only type of root
1454,Believes they can eliminate a variable without making the coefficients the same in simultaneous equations
1455,Calculates circumference when asked for area
1456,Believes linear graphs can be curved
1457,Does not understand the interpretation of the fx column in a frequency table
1458,Believes 0 multiplied by a number gives the number
1459,Does not recognise that a surd will simplify to a whole number and not longer be a surd if the number under the surd is a square number
1460,Identifies second decimal place value when asked for the second significant figure
1461,Believes parallel lines have gradients that multiply to give -1
1462,Believes height represents frequency on a histogram
1463,"When adding fractions, adds the numerators and multiplies the denominators"
1464,"When solving simultaneous equations graphically, they think the solutions are the y-intercepts"
1465,Uses outcome as numerator in probability 
1466,Thinks there are 100kg in a ton
1467,Believes the power button writes a fraction
1468,Orders integers based on first digits without taking into account place value
1469,Does not recognise when simplifying a fraction may be helpful
1470,"Does not know the meaning of the word ""product"""
1471,Mixes up colder and hotter when comparing temperatures
1472,"Believes that they can reverse a percentage decrease by dividing by the decimal multiplier of the percentage itself, not the multiplier for the percentage decrease."
1473,Believes adding two numbers finds their lowest common multiple
1474,Forgets to add on the starting value when identifying a position on a number line
1502,"When calculating the group width of a group from a grouped frequency table, believes this is found by midpoint multiplied by frequency"
1503,"When drawing a histogram, thinks you plot group midpoint on the horizontal axis"
1504,"When multiplying surds, adds the numbers under the roots"
1505,Thinks co-interior angles are equal
1506,Believes transforming some terms in simultaneous equations is sufficient
1507,Carries out operations from left to right regardless of priority order
1508,Assumes the item has not been replaced in a probability question where it has actually been replaced
1509,Does not realise that all regular shapes of a certain type will be similar
1510,Believes subtraction is commutative 
1511,Does not understand that the probability of something not happening is 1 minus the probability of it happening
1512,"When sketching graphs of factorised quadratics, does not see that the negative of the non variable terms in the brackets give the x intercepts or the roots of the graph."
1513,Does not know the meaning of perpendicular
1514,Adds instead of subtracts
1515,"When asked to take off a fraction of an amount, subtracts the fraction itself"
1516,Performs addition ahead of any other operation
1517,Finds unit amount but doesn't multiply up
1518,Mixes up smallest and largest when ordering decimals
1519,Assumes that a graph always starts at the origin
1520,Does not recognise litres as a unit of volume
1521,"Thinks that scale factors, other than one, can leave the dimensions of shapes unchanged"
1522,Believes the mean is total frequency divided by sum of categories given
1523,Does not know how to say a fraction
1524,Believes adding b to any integer gives a multiple of b
1525,Confuses written 'teen' numbers with their corresponding multiples of 10
1548,Thinks that a unit fraction can be simplified further
1549,"When asked to multiply fractions, uses the method for adding instead"
1550,Believes interior angles are outside a shape
1551,Does the reciprocal of both fractions when dividing fractions
1552,"Believes term to term rule is applied to position number, not previous term"
1553,Thinks that we can use O as zero for place value in Roman numerals
1554,Does not know how to identify common factors from algebraic terms
1555,Believes that we cannot calculate the median of a dataset that contains negative numbers
1556,Writes digits in the order of the pictorial representation rather than using place value columns
1557,Has an incorrect assumption about the definition of a reciprocal
1558,Believes dividing a positive by a negative gives a positive answer
1559,Believes a downward slope on a speed-time graph shows positive acceleration
1560,Mistakes the number of rows for the total frequency in a frequency table
1603,Confuses displacement-time graphs with velocity-time graphs
1604,Thinks there are 10 centimetres in 1 mm.
1605,"When rounding up from a 9, does not add one on to the digit to the left"
1606,Believes the coefficent of x in an expanded quadratic comes from multiplying the two numbers in the brackets
1607,Believes the gradient of perpendicular lines just have opposite signs
1608,Believes parts of a 3D diagram that look straight class as edges
1609,Believes the decimal point button writes a fraction
1610,Misunderstands the concept of common factors in algebra
1611,Does not understand that coordinates can be decimals
1612,Confuses the shaded and unshaded regions on an inequality diagram
1613,Believes constructing a triangle with given SAS requires a compass
1614,Believes factors of algebraic terms/expressions will only be numbers
1615,Does not know the symbol for proportionality 
1616,Fails to consider all possible outcomes
1617,Believes a reciprocal equation will have a linear graph
1618,Mixes up cubing and multiplying by 3
1619,"When dividing a decimal by a whole number, ignores decimal point and just divides the digits"
1620,Believes zero cannot be raised to a power
1621,"When dividing a fraction by an integer, multiplies both the numerator and denominator by the integer"
1622,Divides by 1000 instead of 100 when converting a percentage to a decimal
1623,"When asked for the mean of a list of data, does not count any zeros in the data when working out what to divide by"
1624,Multiplies the number of whole units by the numerator when converting from a mixed number to an improper fraction
1625,Uses difference as index instead of coefficient in nth term rule
1626,Has partitioned the digits when doing long multiplication
1627,Believes ratios can be combined without equalizing common terms
1628,"When multiplying involving a multiple of 10, gives an answer 10 times smaller than it should be"
1629,writes the remainder as the divisor divided by 10
1630,Does not realize we can simplify a term that involves powers
1631,When asked for a specific term in a sequence gives the term after
1632,"Believes a decimal with one significant figure is a multiple of 10 when converted to a percentage, regardless of place value"
1633,When asked to rotate by 180 degrees rotates by 90 degrees
1634,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer "
1635,Believes gradient is the difference between the change in x and the change in y
1636,Believes nth term rule can be given in words
1637,Has used the decimal point to separate numerator and denominator
1638,Counts repeated factors as two separate factors
1639,Believes adding two negatives gives a positive answer
1640,Believes the centre of rotation is always the origin
1641,"When collecting like terms, only simplifies when there is an addition"
1642,"When adding roots, adds the numbers under the roots"
1643,"Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount"
1644,Confuses collecting like terms with multiplication
1645,Thinks there are 10ml in a litre
1646,"In ratio question where one side of ratio is given, uses that as one part in ratio without dividing"
1647,Believes that numbers are read aloud digit by digit 
1648,Believes dividing two positives will give a negative answer
